timestamp,total,buy,sell,buyRatio,sellRatio
1513191600000,6322.54065,2810.5345,3512.00614,0.444526126,0.555473873
1513188000000,5640.71872,2222.09999,3418.61873,0.393939159,0.606060841
1513184400000,3243.05343,1169.16989,2073.88355,0.360515149,0.639484854
1513180800000,1812.20211,779.03802,1033.16409,0.429884733,0.570115267
1513177200000,1968.3463,933.46387,1034.88243,0.474237623,0.525762377
1513173600000,1880.92282,933.26445,947.65837,0.496173708,0.503826292
1513170000000,3261.7002,2000.36508,1261.33512,0.613289069,0.386710931
1513166400000,1100.91407,380.80682,720.10725,0.345900584,0.654099416
1513162800000,1881.17606,985.31015,895.86591,0.52377349,0.47622651
1513159200000,1208.25166,552.09664,656.15501,0.456938449,0.543061542
1513155600000,1581.45876,619.03481,962.42394,0.391432787,0.608567207
1513152000000,1326.87255,492.6078,834.26475,0.371254798,0.628745202
1513148400000,1170.83288,497.3512,673.48167,0.424784108,0.575215884
1513144800000,2811.12994,1433.79902,1377.33092,0.510043666,0.489956334
1513141200000,1494.25603,693.14737,801.10865,0.463874568,0.536125426
1513137600000,2304.27546,1112.28756,1191.9879,0.482705987,0.517294013
1513134000000,6481.52426,2151.04929,4330.47497,0.331873986,0.668126014
1513130400000,2602.6614,1134.41324,1468.24816,0.435866625,0.564133375
1513126800000,1876.08153,1146.18872,729.89281,0.610948246,0.389051754
1513123200000,2473.61805,945.34449,1528.27356,0.38217076,0.61782924
1513119600000,1184.35686,452.16841,732.18845,0.381783924,0.618216076
1513116000000,1985.30744,1071.32548,913.98196,0.539626991,0.460373009
1513112400000,1889.8388,669.01936,1220.81945,0.354008691,0.645991314
1513108800000,1792.67638,767.99971,1024.67668,0.428409566,0.57159044
1513105200000,3764.13498,2235.66608,1528.4689,0.593938871,0.406061129
1513101600000,1390.92363,807.87128,583.05234,0.580816418,0.419183575
1513098000000,1465.06727,494.61601,970.45126,0.337606348,0.662393652
1513094400000,1781.63804,821.40467,960.23337,0.461039028,0.538960972
1513090800000,1250.84636,413.81459,837.03177,0.330827673,0.669172327
1513087200000,3143.44195,1762.3469,1381.09505,0.560642419,0.439357581
1513083600000,2524.82157,1151.93542,1372.88615,0.456244288,0.543755712
1513080000000,1706.92167,848.86531,858.05636,0.497307712,0.502692288
1513076400000,1750.80521,634.14911,1116.65609,0.362204263,0.637795732
1513072800000,1507.55226,793.06372,714.48854,0.526060516,0.473939484
1513069200000,2056.24158,1112.51792,943.72366,0.541044365,0.458955635
1513065600000,2310.59229,1251.12044,1059.47185,0.541471745,0.458528255
1513062000000,1835.24851,920.72437,914.52414,0.501689207,0.498310793
1513058400000,2151.69466,1243.11759,908.57707,0.577738846,0.422261154
1513054800000,2653.76242,1074.65964,1579.10278,0.404956989,0.595043011
1513051200000,3807.53688,1575.43367,2232.10321,0.413767146,0.586232854
1513047600000,2590.32912,1089.80259,1500.52653,0.420719739,0.579280261
1513044000000,1950.96702,1188.0427,762.92431,0.608950683,0.391049312
1513040400000,3107.98133,1466.79212,1641.18921,0.471943672,0.528056328
1513036800000,2889.53894,1304.46293,1585.07601,0.451443278,0.548556722
1513033200000,3661.25038,1533.84512,2127.40526,0.418940242,0.581059758
1513029600000,4731.10023,2045.96758,2685.13265,0.432450694,0.567549306
1513026000000,7310.18462,3982.68175,3327.50287,0.544812745,0.455187255
1513022400000,4733.88796,2959.93631,1773.95165,0.625265392,0.374734608
1513018800000,2307.52123,1338.88329,968.63793,0.580225773,0.419774222
1513015200000,1556.37506,563.2224,993.15265,0.361880895,0.638119098
