timestamp,amount
1517979540000,-14376.679720833
1517983140000,-14372.717322315
1517986740000,-14374.480443113
1517990340000,-14421.895526316
1517993940000,-13989.407662962
1517997540000,-13481.943393474
1518001140000,-13016.17052503
1518004740000,-12938.663750104
1518008340000,-12525.665450529
1518011940000,-12732.85983244
1518015540000,-12856.552054568
1518019140000,-12778.425920572
1518022740000,-12545.050519383
1518026340000,-12456.22479009
1518029940000,-12387.123290885
1518033540000,-12755.219041104
1518037140000,-12990.223077797
1518040740000,-12941.919527393
1518044340000,-13223.383860918
1518047940000,-13221.801466857
1518051540000,-13181.314327533
1518055140000,-12439.685584501
1518058740000,-12477.181548773
1518062340000,-12430.122006437
1518065940000,-12359.006511504
1518069540000,-12337.048454763
1518073140000,-12319.494540493
1518076740000,-11858.158552654
1518080340000,-11903.566357075
1518083940000,-11979.969033631
1518087540000,-11967.326710821
1518091140000,-11751.588627787
1518094740000,-11824.391904121
1518098340000,-11724.726113883
1518101940000,-11951.279594504
1518105540000,-12370.208607233
1518109140000,-12734.296780066
1518112740000,-12613.313827517
1518116340000,-12522.60886791
1518119940000,-12415.258013191
1518123540000,-12625.797574609
1518127140000,-12534.222594847
1518130740000,-12257.614432986
1518134340000,-12002.515839815
1518137940000,-11747.920185404
1518141540000,-11665.94282091
1518145140000,-11691.795284572
1518148740000,-11777.994745983
1518152340000,-12024.243331682
1518155940000,-12232.399152422
1518159540000,-12700.276018655
1518163140000,-12896.206887218
1518166740000,-12995.068997562
1518170340000,-12890.119981077
1518173940000,-12801.72399778
1518177540000,-12749.006693663
1518181140000,-12718.891466429
1518184740000,-12678.769320651
1518188340000,-12566.186072816
1518191940000,-12539.852435765
1518195540000,-12540.764568991
1518199140000,-12440.245110229
1518202740000,-11932.374599103
1518206340000,-11802.913843644
1518209940000,-11705.82461698
1518213540000,-12344.153322927
1518217140000,-12472.006242726
1518220740000,-12397.176509112
1518224340000,-12283.699907247
1518227940000,-12667.14269844
1518231540000,-12752.697540311
1518235140000,-12817.261771302
1518238740000,-13121.43503386
1518242340000,-13243.467764364
1518245940000,-13070.169507691
1518249540000,-13133.641515012
1518253140000,-13447.542370027
1518256740000,-13661.96895043
1518260340000,-13699.289206001
1518263940000,-13870.231847527
1518267540000,-13862.547824506
1518271140000,-13937.987488833
1518274740000,-14171.241745052
1518278340000,-14418.953510611
1518281940000,-13912.173615923
1518285540000,-13406.028193493
1518289140000,-13644.107712236
1518292740000,-13755.559625329
1518296340000,-13695.118123831
1518299940000,-14021.356547734
1518303540000,-13803.600944478
1518307140000,-13539.94738747
1518310740000,-13379.458290168
1518314340000,-13698.781462755
1518317940000,-13917.928451158
1518321540000,-14116.095055714
1518325140000,-14276.446414072
1518328740000,-14262.371141932
1518332340000,-14289.861163657
1518335940000,-14339.357855348
1518339540000,-14385.743831381
1518343140000,-14252.156521238
1518346740000,-14069.4996087
1518350340000,-14008.471548568
1518353940000,-13980.015846951
1518357540000,-13788.379733394
1518361140000,-13771.188247304
1518364740000,-13696.855459435
1518368340000,-13633.168701722
1518371940000,-13643.440569657
1518375540000,-13796.087190833
1518379140000,-13824.891814189
1518382740000,-13813.705495296
1518386340000,-13754.903220489
1518389940000,-13920.694841221
1518393540000,-13848.090784707
1518397140000,-13759.466587424
1518400740000,-13654.10358699
1518404340000,-13241.274404552
1518407940000,-12773.348651474
1518411540000,-12679.052242619
1518415140000,-12541.514831886
1518418740000,-12344.304457514
1518422340000,-12058.503178278
1518425940000,-11794.141973424
1518429540000,-11154.259866433
1518433140000,-10508.481434289
1518436740000,-10309.972600819
1518440340000,-10311.352076039
1518443940000,-10242.659507641
1518447540000,-10388.006883324
1518451140000,-10605.844571578
1518454740000,-10309.82293662
1518458340000,-10200.635070902
1518461940000,-10194.277106597
1518465540000,-10143.009909195
1518469140000,-9906.2475299353
1518472740000,-9793.8333591098
1518476340000,-9711.2552219423
1518479940000,-9759.8309143897
1518483540000,-9661.2530951125
1518487140000,-9728.967649928
1518490740000,-9841.6208845638
1518494340000,-9895.7450519397
1518497940000,-9915.6960220342
1518501540000,-9822.1082836578
1518505140000,-9940.6618207562
1518508740000,-9914.951289346
1518512340000,-10236.499135384
1518515940000,-10705.000596092
1518519540000,-10900.377014319
1518523140000,-10877.93206475
1518526740000,-10887.931789345
1518530340000,-10914.478248331
1518533940000,-11084.37653984
1518537540000,-11265.508210997
1518541140000,-11338.331785778
1518544740000,-11246.107262896
1518548340000,-11250.135181599
1518551940000,-11260.133723522
1518555540000,-11175.979017275
1518559140000,-11151.052695647
1518562740000,-11106.214263389
1518566340000,-11084.765745238
1518569940000,-11118.230675343
1518573540000,-11117.545244549
1518577140000,-10949.389410897
1518580740000,-10891.411973873
1518584340000,-10792.398079088
1518587940000,-10544.938889703
1518591540000,-10205.271298913
1518595140000,-10209.480649099
1518598740000,-9890.6562161688
1518602340000,-9927.5852152955
1518605940000,-10187.411772049
1518609540000,-10068.175715815
1518613140000,-9296.11674382
1518616740000,-8928.1543781268
1518620340000,-9331.3157545217
1518623940000,-10326.890372525
1518627540000,-10899.327971185
1518631140000,-10924.522738452
1518634740000,-10714.387967586
1518638340000,-10836.961908937
1518641940000,-10667.036403233
1518645540000,-10525.669271789
1518649140000,-10514.129244573
1518652740000,-10495.215102076
1518656340000,-10553.550806639
1518659940000,-10517.565649864
1518663540000,-10199.931658803
1518667140000,-9686.5335477422
1518670740000,-9768.2548632268
1518674340000,-9816.4126864003
1518677940000,-9978.7364691845
1518681540000,-10141.46013175
1518685140000,-10227.303450319
1518688740000,-10311.794878801
1518692340000,-10356.919623168
1518695940000,-10598.535763137
1518699540000,-10672.352071093
1518703140000,-10905.647554058
1518706740000,-11144.658542405
1518710340000,-11249.245318654
1518713940000,-11314.048934556
1518717540000,-10950.553448225
1518721140000,-10858.094299357
1518724740000,-10847.272207194
1518728340000,-10946.229912009
1518731940000,-11000.434360626
1518735540000,-11033.891687722
1518739140000,-10961.190477244
1518742740000,-10930.408117939
1518746340000,-11064.186391336
1518749940000,-11257.504721372
1518753540000,-11396.014101099
1518757140000,-11706.579816766
1518760740000,-11773.442484633
1518764340000,-11854.665456805
1518767940000,-11803.469594647
1518771540000,-11891.287864738
1518775140000,-11601.84753931
1518778740000,-12303.897464608
1518782340000,-12252.931881041
1518785940000,-12177.514423591
1518789540000,-12149.818671403
1518793140000,-12334.644939195
1518796740000,-12578.725413504
1518800340000,-12644.315551501
1518803940000,-12620.679890703
1518807540000,-12691.807887079
1518811140000,-12716.704779279
1518814740000,-12746.216036041
1518818340000,-12743.682467126
1518821940000,-12736.842366169
1518825540000,-12771.70698447
1518829140000,-12774.745509098
1518829440000,-12320.494413265
1518832800000,-11532.368043426
1518836400000,-11244.803694417
1518840000000,-11130.714576998
1518843600000,-10952.426145901
1518847200000,-10282.320683705
1518850800000,-9382.657636698
1518854400000,-10655.475234394
1518858000000,-11429.144395772
1518861600000,-11377.797608084
1518865200000,-11421.895082288
1518868800000,-11725.698605705
1518872400000,-12013.978392101
1518876000000,-12133.530894424
1518879600000,-12237.494617774
1518883200000,-12293.260161809
1518886800000,-12386.218974655
1518890400000,-12817.372967217
1518894000000,-12913.284772798
1518897600000,-12947.274296886
1518901200000,-12844.336036364
1518904800000,-13097.154414027
1518908400000,-13498.742055003
1518912000000,-13229.487619023
1518915600000,-12852.712242173
1518919200000,-12708.631247956
1518922800000,-13882.98525758
1518926400000,-14210.365446043
1518930000000,-14058.718723598
1518933600000,-13998.639431061
1518937200000,-14002.489942587
1518940800000,-13970.708237733
1518944400000,-14039.507437846
1518948000000,-13846.431970812
1518951600000,-14183.552698902
1518955200000,-14541.21970308
1518958800000,-14586.637359117
1518962400000,-14723.276527441
1518966000000,-14924.315207973
1518969600000,-14888.761442488
1518973200000,-15077.359887431
1518976800000,-15279.054255052
1518980400000,-15430.363539132
1518984000000,-15482.85671122
1518987600000,-15483.619527916
1518991200000,-15386.352957628
1518994800000,-15457.30620043
