,Pos_Change_Signal,acf_value,acf_pval,df_pval,Y_5,Y_10,Y_20
2018-02-08 12:11:00,-1,-0.177474165,0.580971664,0.013055509,0.00045339,-0.002622562,0.683020895
2018-02-08 12:13:00,-1,-0.218019335,0.536465161,0.00015802,0.000325223,-0.000675078,0.718015619
2018-02-08 12:14:00,-1,-0.234309528,0.50316839,8.61399E-05,-0.000553246,-0.00267246,0.996686775
2018-02-08 12:15:00,-1,-0.294375097,0.366087196,6.37434E-06,-0.00188727,-0.003137118,0.428575892
2018-02-08 12:16:00,-1,-0.344579206,0.251316855,1.93721E-06,-0.003074558,-0.00410566,0.541028477
2018-02-08 12:21:00,-1,-0.360779803,0.213035361,4.23783E-06,-0.001034282,-0.001366631,0.672402229
2018-02-08 12:22:00,-1,-0.348477627,0.235410839,1.5005E-05,-0.003949427,-0.004447018,0.205482882
2018-02-08 12:30:00,-1,-0.438571941,0.077492932,4.08926E-07,2.5198E-05,-2.84737E-05,0.278796545
2018-02-08 12:34:00,-1,-0.376199216,0.141387471,9.48218E-07,-0.000434718,0.004882579,0.712411836
2018-02-08 12:37:00,-1,-0.343090584,0.185448493,9.77513E-07,0.004254341,0.008411115,0.278193043
2018-02-08 12:39:00,-1,-0.180714844,0.639010093,2.45463E-09,0.00531961,0.007141304,0.793835031
2018-02-08 12:40:00,-1,-0.183693036,0.664936018,5.68009E-06,0.005096433,0.008051104,0.539639286
2018-02-08 12:41:00,-1,-0.173141188,0.67237482,9.91248E-07,0.002610466,0.005877349,0.770467496
2018-02-08 12:42:00,-1,-0.152294212,0.839612387,4.2754E-05,0.004139165,0.00285873,0.518798457
2018-02-08 12:43:00,-1,-0.133760384,0.838680156,6.36631E-05,0.003464177,-0.001659858,0.37809005
2018-02-08 12:44:00,-1,-0.110533164,0.878861224,5.46992E-05,0.001812055,-0.004075149,0.057063365
2018-02-08 12:57:00,-1,0.047033747,0.417873751,0.001727556,0.002643631,-0.002861565,0.666403462
2018-02-08 12:59:00,-1,0.022044124,0.474796524,0.001293281,0.001674295,-0.010613474,0.689331336
2018-02-08 13:00:00,-1,0.084111235,0.485184471,0.001164637,-0.000315349,-0.009870423,0.475833231
2018-02-08 13:01:00,-1,0.100214091,0.533067328,0.000197154,-0.001730769,-0.011380708,0.703657214
2018-02-08 13:03:00,-1,0.159846321,0.092005199,0.007569235,-0.009135737,-0.008470462,0.919887219
2018-02-08 13:09:00,-1,0.16446049,0.068498401,0.160678362,0.004907045,0.006426895,0.610395415
