,acf_value,skew,kurtosis,Y_5,Y_10,Y_20,Y_60
3/27/18 5:02,0.088474648,-1.568248918,3.333884057,0.001853395,0.007271012,0.004989911,-0.00431545
3/27/18 5:03,0.028900379,-1.334731905,2.116744535,-0.000763929,0.00202987,4.91097E-05,-0.008534183
3/27/18 5:06,-0.157493362,-0.873148037,0.013870601,0.005485122,0.004296087,0.005665943,-0.000613476
3/27/18 5:07,-0.16675023,-0.726981855,-0.442445299,0.005407595,-0.000191784,0.002276663,0.000579948
3/27/18 5:08,-0.200264188,-0.5797042,-0.741643659,0.002795935,-0.002452122,-0.000496934,-0.001398186
3/27/18 5:09,-0.200670662,-0.443559815,-0.966963195,0.0027406,-0.002648001,-0.001233914,-0.002205976
3/27/18 5:10,-0.192469029,-0.3151752,-1.131468216,0.00217256,-0.002915161,-0.002336539,-0.002773453
3/27/18 5:11,-0.18605415,-0.209066967,-1.229927542,-0.001182548,-0.001329686,-0.00463777,-0.003171628
3/27/18 5:13,-0.178336128,-0.013911417,-1.312355679,-0.005233425,-0.001976747,-0.008794838,-0.001611893
3/27/18 5:17,-0.224618634,0.415476824,-1.211526782,0.003323134,0.00246892,-0.001007057,0.001352158
3/27/18 5:20,-0.168038474,0.782517573,-0.690262326,0.009537065,0.000580313,-0.002737327,0.007347204
3/27/18 5:21,-0.175736203,0.779727652,-0.835946553,0.00151153,-0.003312488,-0.008752906,0.004730817
3/27/18 5:23,-0.148832829,0.999984507,-0.233921016,-0.001309529,-0.006831595,-0.010367323,0.00449605
3/27/18 5:24,-0.14056022,1.097137722,0.216852561,-0.004489433,-0.009447313,-0.013245829,0.005164676
3/27/18 5:33,-0.353939727,0.21186328,0.020352422,0.001505329,-0.003560049,0.000956159,0.014712892
3/27/18 5:34,-0.182225791,0.054102877,0.094090231,0.001302055,-0.003834744,-6.02132E-05,0.014548075
3/27/18 5:35,-0.171050826,0.098729317,-0.146028575,-0.000296574,-0.006541978,-0.002941816,0.013039613
3/27/18 5:36,-0.184340278,0.221124626,-0.047711062,-0.004264822,-0.00594194,-0.003436897,0.011203955
3/27/18 5:42,-0.194795866,-0.047847814,-0.250355888,0.000822004,0.005201173,0.001478328,0.017070153
3/27/18 5:45,-0.211808636,-0.10499404,-0.189786171,0.003049354,0.00362387,0.005922154,0.017843139
3/27/18 5:46,-0.214762366,-0.026903485,-0.240119266,0.004874606,0.002520017,0.005740345,0.016333238
3/27/18 5:47,-0.20268852,0.077252825,-0.23075521,0.004375572,0.002231872,0.007439354,0.015705768
3/27/18 5:48,-0.226253614,0.203976244,-0.215916244,0.003541926,0.001118143,0.007248653,0.016502474
3/27/18 5:50,-0.206248026,0.374103217,-0.365198202,0.000572769,-0.002610286,0.006124006,0.015046431
3/27/18 5:51,-0.209489918,0.427674245,-0.314444515,-0.002343167,-0.005526142,0.003775407,0.012467404
3/27/18 5:55,-0.069370545,0.88701251,0.841920552,-0.003181233,0.002289986,0.00838869,0.022193336
3/27/18 5:56,0.032359096,1.018720861,1.654020446,-0.003190451,0.003212233,0.007216523,0.023057452
3/27/18 6:00,-0.059884813,0.103349722,-0.840824955,0.00548868,0.008757151,0.016024296,0.018442628
3/27/18 6:01,-0.062097428,0.044135971,-1.064759224,0.006423177,0.009353237,0.016002211,0.017966841
3/27/18 6:02,-0.117720897,0.029394329,-1.135951131,0.006779123,0.009059098,0.014516717,0.014373751
3/27/18 6:04,-0.086325685,0.036111424,-1.057891541,0.005806339,0.009879252,0.016549663,0.012570532
3/27/18 6:05,-0.085722123,0.026954169,-1.085505452,0.003250629,0.006084769,0.013992993,0.010082265
3/27/18 7:33,-0.050576321,-0.432991209,0.563152933,0.005107589,0.005843301,0.005722477,-0.003196582
3/27/18 7:35,-0.07425815,-0.607358253,0.231023181,0.003680077,0.002365686,0.001774209,-0.002694722
3/27/18 7:38,0.054229082,-1.044973473,0.39775277,0.000731974,0.002256464,0.000688479,-0.009136013
3/27/18 7:39,0.04679442,-1.067440343,0.447771546,0.001103534,0.001142002,0.000830547,-0.009103447
3/27/18 7:53,0.173927661,-1.062080297,0.314215753,7.66694E-05,-0.007568644,-0.002315372,-0.020767353
3/27/18 7:55,0.169656724,-0.993872639,0.323237003,-0.001902274,-0.00625417,-0.00458107,-0.021517406
3/27/18 8:01,0.14676993,-1.078559183,0.291779126,6.61731E-05,0.003809022,0.000928842,-0.010722685
3/27/18 8:04,0.202225762,-1.393312209,0.999593209,0.005958698,0.003810783,-0.000435266,-0.007103915
3/27/18 8:05,0.048350311,-1.400545993,0.894718735,0.004940642,0.001683629,-0.001584165,-0.008488345
3/27/18 8:06,0.024260374,-1.272662807,0.316468924,0.003742601,0.000917569,-0.002242263,-0.006424524
3/27/18 8:09,0.083762535,-1.236561293,0.297557839,-0.002135193,-0.002710212,-0.005808442,0.000432031
3/27/18 8:11,0.022908486,-1.109280745,0.077457987,-0.002814498,-0.002869251,-0.008388086,-0.00532742
3/27/18 8:15,-0.042484658,-0.755012815,-0.545735156,0.000977373,-0.003262302,0.000120606,0.000790641
3/27/18 8:17,-0.049670111,-0.476654291,-0.969089674,-3.29464E-05,-0.003843746,-0.003673743,0.001312145
3/27/18 8:18,-0.045348647,-0.385498542,-1.072773407,-0.000346111,-0.002865959,-0.004381293,0.000889216
3/27/18 8:19,-0.040737682,-0.335982365,-1.167041433,-0.003655786,-0.00310665,-0.004561499,0.000559895
