,Pos_Change_Signal,acf_value,skew,kurtosis,Y_5,Y_10,Y_20,Y_60
2018-02-08 12:10:00,-1,-0.15213039,-0.773598691,1.673450916,0.001060369,-0.000828902,-0.006925242,-0.017894901
2018-02-08 12:11:00,-1,-0.177474165,-0.988351753,1.54284915,0.00045339,-0.002622562,-0.003985609,-0.019727856
2018-02-08 12:13:00,-1,-0.218019335,-0.949595521,0.411421448,0.000325223,-0.000675078,-0.006392419,-0.017155149
2018-02-08 12:14:00,-1,-0.234309528,-0.932029792,0.079284964,-0.000553246,-0.00267246,-0.007761073,-0.016184915
2018-02-08 12:15:00,-1,-0.294375097,-0.877227674,-0.268535697,-0.00188727,-0.003137118,-0.007952156,-0.015704336
2018-02-08 12:16:00,-2,-0.344579206,-0.771412589,-0.654485444,-0.003074558,-0.00410566,-0.008014473,-0.016128931
2018-02-08 12:21:00,-2,-0.360779803,-0.305203269,-1.537264526,-0.001034282,-0.001366631,-0.002281688,-0.010111013
2018-02-08 12:22:00,-2,-0.348477627,-0.191148218,-1.620978431,-0.003949427,-0.004447018,-0.002713401,-0.010699756
2018-02-08 12:30:00,-2,-0.438571941,0.14109683,-0.966180025,2.5198E-05,-2.84737E-05,0.008022401,0.001436284
2018-02-08 12:34:00,-2,-0.376199216,0.471168931,-0.405763924,-0.000434718,0.004882579,0.000787533,-0.003559775
2018-02-08 12:37:00,-2,-0.343090584,0.276507356,-0.590085302,0.004254341,0.008411115,-0.002246796,0.003624068
2018-02-08 12:39:00,-1,-0.180714844,0.353503286,-0.399382072,0.00531961,0.007141304,-0.002313329,-0.000192242
2018-02-08 12:40:00,-1,-0.183693036,0.239384496,-0.69077012,0.005096433,0.008051104,-0.001159013,0.000957676
2018-02-08 12:41:00,-1,-0.173141188,-0.084168528,-1.676103941,0.002610466,0.005877349,-0.003562422,-0.003031407
2018-02-08 12:42:00,-1,-0.152294212,-0.014140456,-1.621061456,0.004139165,0.00285873,-0.003847079,-0.002792706
2018-02-08 12:43:00,-1,-0.133760384,0.050075453,-1.538538784,0.003464177,-0.001659858,-0.005020364,-0.0018982
2018-02-08 12:44:00,-1,-0.110533164,0.063021782,-1.470659115,0.001812055,-0.004075149,-0.005930966,-0.004278912
2018-02-08 12:57:00,-1,0.047033747,0.384789268,-0.882737328,0.002643631,-0.002861565,-0.003888191,0.01084931
2018-02-08 12:59:00,-1,0.022044124,0.429593883,-0.942871247,0.001674295,-0.010613474,-0.00425479,0.009909312
2018-02-08 13:00:00,-1,0.084111235,0.457279281,-0.996077492,-0.000315349,-0.009870423,-0.004355096,0.007830115
2018-02-08 13:01:00,-1,0.100214091,0.464121532,-1.025527214,-0.001730769,-0.011380708,-0.004300127,0.008531023
2018-02-08 13:03:00,-1,0.159846321,0.558343564,-0.994018929,-0.009135737,-0.008470462,-0.002746624,0.007593898
2018-02-08 13:09:00,-1,0.16446049,-0.64126574,0.934511159,0.004907045,0.006426895,0.014529955,0.023060837
2018-02-08 13:12:00,-1,0.094341176,-0.60045125,-0.337329389,0.005855529,0.008222158,0.011558223,0.02275286
2018-02-08 13:13:00,-1,0.082057725,-0.465477914,-0.646620417,0.004096611,0.005772735,0.007461581,0.020278996
2018-02-08 13:14:00,-1,0.047646108,-0.328142627,-0.831921513,0.001512429,0.007326531,0.004972169,0.020034951
2018-02-08 13:16:00,-1,0.061769727,-0.065112208,-0.967501392,0.003023209,0.010248218,0.00682156,0.028137346
2018-02-08 13:17:00,-1,0.062286843,0.056958703,-0.906273518,0.002352852,0.010140182,0.00981042,0.027145248
2018-02-08 13:19:00,-1,0.103194507,0.251588893,-0.602977651,0.005805322,0.008051315,0.00640806,0.029645336
2018-02-08 13:20:00,-1,0.08202995,0.317575409,-0.348987211,0.00720557,0.007012493,0.00650256,0.023361884
2018-02-08 13:21:00,-1,0.140271488,0.379693491,-0.015103291,0.007203233,0.005002724,0.004853912,0.025519703
2018-02-08 13:22:00,-1,0.171993869,0.306964357,0.221885333,0.00776905,0.00330886,0.005257481,0.023683969
2018-02-08 15:00:00,1,0.085743969,-0.489837974,-0.794310094,-0.003320536,-0.000736533,-0.000997511,-0.012336927
2018-02-08 15:01:00,1,0.141479726,-0.525318081,-0.557488325,-0.001108644,0.001566055,-0.001655105,-0.012110828
2018-02-08 15:33:00,1,0.052146464,0.444104897,0.313922545,-0.003510182,-0.003408927,-0.011810045,-0.014648261
2018-02-08 15:34:00,1,0.121469417,0.369151296,0.406367319,-0.001356981,-0.00592528,-0.011552761,-0.015589934
2018-02-08 15:36:00,1,0.076318395,0.337524963,0.370154753,0.000436168,-0.005608745,-0.011109985,-0.012019179
2018-02-08 15:37:00,1,0.136281628,0.308811974,0.569788633,-0.000356711,-0.008275311,-0.010374879,-0.013341326
2018-02-08 16:46:00,-1,0.107382442,1.495950626,2.42423404,0.004927505,0.005105398,-0.003848541,0.013254699
2018-02-08 16:48:00,-1,0.058114138,1.311733467,2.022458997,0.00528181,0.002753211,-0.003463962,0.009294519
2018-02-08 16:49:00,-1,0.142406962,1.260536225,2.642083311,0.001050868,-0.001694446,-0.005798426,0.005580791
2018-02-08 17:01:00,-1,0.196503474,0.53027233,-0.920689828,-0.003954159,-0.002984455,-0.002254744,0.007521634
2018-02-08 17:03:00,-1,0.194985561,0.55425202,-0.870753223,-0.002157403,2.18538E-05,-0.002819135,0.007349108
2018-02-08 17:07:00,-1,0.329121968,-0.441066102,0.033883074,0.001666244,0.005249295,8.7697E-05,0.011882824
2018-02-08 17:08:00,-1,0.344494308,-0.342273583,-0.27568258,0.002183969,0.00500607,-0.000703961,0.009652213
2018-02-08 17:10:00,-1,0.331829454,-0.189215681,-0.777913327,0.004290198,0.003485755,0.001138888,0.010998983
2018-02-08 17:11:00,-1,0.311208231,-0.106238187,-0.959238742,0.003597045,0.000731895,0.013949795,0.009999438
2018-02-08 17:12:00,-1,0.302517662,-0.018459641,-1.089473964,0.00357709,-0.001594807,0.015005644,0.009705672
2018-02-08 17:13:00,-1,0.260578837,0.039728307,-1.128356668,0.002815952,-0.002840927,0.01457614,0.007988936
2018-02-08 17:14:00,-1,0.283545453,0.101007162,-1.100382762,0.001883668,-0.004260083,0.014127509,0.006701991
2018-02-08 17:16:00,-1,0.367466281,0.079528795,-1.089471053,-0.002854881,-0.004581323,0.017371629,0.005815476
2018-02-08 17:17:00,-1,0.366135368,0.073693827,-1.091755477,-0.005153463,-0.005134644,0.016961774,0.00550541
2018-02-08 17:22:00,-1,0.24036516,0.179426947,-1.074150753,1.89162E-05,0.016626968,0.016774163,0.015233307
2018-02-08 17:24:00,-1,0.231729711,0.344028755,-0.880383039,5.31187E-05,0.018466261,0.017561113,0.01949982
2018-02-08 17:27:00,-1,0.324713012,0.456808364,-0.752720444,0.016607737,0.022210461,0.014875873,0.01863712
2018-02-08 17:29:00,-1,0.274530252,0.361900601,-1.349397126,0.018412164,0.021096018,0.012940854,0.019530228
2018-02-08 17:47:00,1,0.063606172,0.369687141,-1.663595344,-0.003641176,-0.002502347,-0.006863756,-0.000569415
2018-02-08 17:49:00,1,0.059619387,0.108964465,-1.79892921,-0.003616241,-0.002172946,-0.006435371,-0.000954072
2018-02-08 17:50:00,1,0.059659912,-0.013839349,-1.820287118,-0.004459957,-0.003376517,-0.006331354,0.000861828
2018-02-08 17:51:00,1,0.061927831,-0.114998665,-1.798592815,-0.00199655,-1.54293E-05,-0.003036608,0.002490287
2018-02-08 17:52:00,1,0.063815615,-0.209138136,-1.745802742,0.001142991,-4.01592E-05,-0.00311079,0.004423685
